X,Y,OBJECTID,CRIMEID,CCN,REPORTDATE,ROUTEID,MEASURE,OFFSET,STREETSEGID,ROADWAYSEGID,FROMDATE,TODATE,MAR_ID,ADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,WARD,EVENTID,MAR_ADDRESS,MAR_SCORE,MAJORINJURIES_BICYCLIST,MINORINJURIES_BICYCLIST,UNKNOWNINJURIES_BICYCLIST,FATAL_BICYCLIST,MAJORINJURIES_DRIVER,MINORINJURIES_DRIVER,UNKNOWNINJURIES_DRIVER,FATAL_DRIVER,MAJORINJURIES_PEDESTRIAN,MINORINJURIES_PEDESTRIAN,UNKNOWNINJURIES_PEDESTRIAN,FATAL_PEDESTRIAN,TOTAL_VEHICLES,TOTAL_BICYCLES,TOTAL_PEDESTRIANS,PEDESTRIANSIMPAIRED,BICYCLISTSIMPAIRED,DRIVERSIMPAIRED,TOTAL_TAXIS,TOTAL_GOVERNMENT,SPEEDING_INVOLVED,NEARESTINTROUTEID,NEARESTINTSTREETNAME,OFFINTERSECTION,INTAPPROACHDIRECTION,LOCATIONERROR,LASTUPDATEDATE,MPDLATITUDE,MPDLONGITUDE,MPDGEOX,MPDGEOY,FATALPASSENGER,MAJORINJURIESPASSENGER,MINORINJURIESPASSENGER,UNKNOWNINJURIESPASSENGER
-77.0264632952837,38.9126133777877,110337215,27482816,17191060,2017/11/03 22:33:52+00,11074162,1560.43,0.07,703,1312,2017/11/03 04:00:00+00,,239282,1000 R STREET NW,38.912606,-77.026461,397705.075,138304.957,Ward 2,{D195D68E-ED7B-410F-B5A6-1AE542EE30BD},1001 R STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11001102,11TH ST NW,49.77,East,,,38.912605,-77.026461,397686.29,138277.79,0,0,0,0
-77.0327364358118,38.9320578686028,110337228,27485566,17192478,2017/11/06 14:53:25+00,11001402,4569.2,3.57,12848,12980,2017/11/06 05:00:00+00,,230871,3415 14TH STREET NW,38.93205,-77.032734,397161.79,140463.599,Ward 1,{857B1E02-7F0B-4779-98FB-B87C1960EE30},3417 14TH STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11061422*1,Not Available,78.14,North,,,38.93205,-77.032693,397185.9,140456.41,0,0,0,0
-77.0394771390238,38.8974113257397,110337251,27487824,17193967,2017/11/08 22:41:09+00,11001702,830.06,4.44,12645,9803,2017/11/08 05:00:00+00,,295829,600 17TH STREET NW,38.897404,-77.039475,396575.676,136617.777,Ward 2,{08F888B2-F0A6-4E0D-A34C-7BF934DB3274},600 17TH STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11034382,F ST NW,5.26,North,,,38.897402,-77.039526,396551.48,136634.72,0,0,0,0
-77.0625559072739,38.9051866228612,110337278,27494706,17197845,2017/11/15 18:49:00+00,11057852,4549.47,3.87,7858,17117,2017/11/15 05:00:00+00,,279671,3200 M STREET NW,38.905179,-77.062554,394574.253,137482.053,Ward 2,{61386FF7-1D47-446E-A27F-8D76090B26A3},3150 M STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,11094052,WISCONSIN AVE NW,22.37,East,,,38.905144,-77.062553,394533.49,137463.82,0,0,0,0
-77.0371672158232,38.9232335021542,110337328,27508027,17205603,2017/11/29 03:38:28+00,11033862,1274.7,7.41,2221,2732,2017/11/28 05:00:00+00,,235848,2480 16TH STREET NW,38.923226,-77.037165,396777.219,139484.203,Ward 1,{F58F8E1C-B350-406E-8E7A-ACB27A58D727},2600 16TH STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,11062722,MOZART PL NW,52.13,East,,,38.923159,-77.037161,396757.52,139418.79,0,0,0,0
-77.0219181585892,38.9096527902579,110337333,27508095,17205766,2017/11/29 05:30:52+00,11000702,2221.98,0.01,8191,38818,2017/11/28 05:00:00+00,,279888,7TH STREET NW & P STREET NW,38.909645,-77.021916,398099.19,137976.166,Ward 2,{3994C0F6-1ECB-4E50-940F-83DC6C755494},701 P STREET NW,200,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11068382,P ST NW,0.02,South,,,38.909645,-77.021916,398099.19,137976.22,0,0,0,0
-77.0421108405474,38.9205839901636,110337334,27508102,17205801,2017/11/29 05:53:20+00,11014952,7.87,5.82,13270,9775,2017/11/29 05:00:00+00,,235428,1800 BELMONT ROAD NW,38.920577,-77.042109,396348.392,139190.271,Ward 1,{527B1F14-D4C9-4075-8A4D-D0837EBA797C},1800 BELMONT ROAD NW,200,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11001802,18TH ST NW,7.86,West,8df1ecd335970edc17bd2130793b1ca2 Blockkey ERROR. 8df1ecd335970edc17bd2130793b1ca2 Blockkey ERROR.  N,,38.920524,-77.042102,396345.13,139175.18,0,0,0,0
-77.021916666403,38.901157824723,110337418,27477626,17187728,2017/10/29 14:18:39+00,11000702,1278.96,31.28,6214,3549,2017/10/29 04:00:00+00,,300396,900 7TH STREET NW,38.900871,-77.022277,398067.591,137002.159,Ward 2,{13A529A2-D96C-4E3C-A805-97D00EAC3EE6},900 7TH STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11047772,I ST NW,31.07,North,,,38.901149,-77.022275,398067.85,137033,0,0,0,0
-77.0218985240777,38.9174652574146,110337424,27480114,17189366,2017/11/01 05:36:50+00,11040042,132.78,21.87,-9,32118,2017/10/31 04:00:00+00,,232290,2041 GEORGIA AVENUE NW,38.917791,-77.021049,398174.581,138880.394,Ward 1,{F3F2A88F-7BCB-44B2-A416-CBAD39EA7568},700 V STREET NW,200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11088462,V ST NW,33.53,South,d9da847a6d5ffd6cb4e59fe17c4d9f55 Blockkey ERROR. d9da847a6d5ffd6cb4e59fe17c4d9f55 Blockkey ERROR.  N,,38.917458,-77.021644,398185.74,138881.73,0,0,0,0
-77.0237578707257,38.9310461986639,110337461,27485691,17192602,2017/11/06 18:15:01+00,11053752,455.41,6.88,-9,36260,2017/11/06 05:00:00+00,,308223,701 LAMONT STREET NW,38.931292,-77.023945,397923.836,140379.2,Ward 1,{34A09AC2-E7A0-49D8-8658-B105C8638786},3232 GEORGIA AVENUE NW,200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,11040042,GEORGIA AVE NW,20.48,West,b093a3ef37400da785d993a391a9cff3 Blockkey ERROR. b093a3ef37400da785d993a391a9cff3 Blockkey ERROR.  N,2020/02/10 15:37:44+00,38.930977,-77.023745,397907.61,140376.87,0,0,0,0
